	CODIGOINTERNOMUNI	MUNI	SED_01	SED_05	SED_02	SED_04	SED_03	SED_06	SED_07	SED_08	SED_09	SED_10	SED_11	SED_12	SED_13	SED_14	SED_15	TIC_01	TIC_02	TIC_03_1	TIC_03_0	TIC_04_1	TIC_04_0	TIC_05_1	TIC_05_0	TIC_06_1	TIC_06_0	TIC_07_1	TIC_07_0	TIC_08_1	TIC_08_0	TIC_10_1	TIC_10_0	TIC_11_1	TIC_11_0	SED_16	SED_17	SED_18	SED_19	SED_20	SED_21	SED_23	SED_24
659	52001	Pasto	3196.0	2304.0	52420.0	2105.0	11757.0	4265.0	6	76047	7686.0	26087.0	25391.0	9566.0	7317.0	0.0028271989690586085	0.9971728010309414	0.24142268181762924	0.16612719761656253	241.0	8.0	181.0	68.0	150.0	99.0	78.0	171.0	106.0	143	207.0	42.0	240.0	9.0	57.0	192.0	249	155.0	94.0	0.6224899598393574	6.0	0.024096385542168676	93.0	50
660	19532	Patía	0.0	413.0	4953.0	54.0	331.0	1281.0	5	7032	461.0	2734.0	2444.0	770.0	623.0		1.0	0.3057104229651211	0.20100385053631487	85.0	5.0	19.0	71.0	6.0	84.0	8.0	82.0	3.0	87	20.0	70.0	68.0	22.0	19.0	71.0	90	11.0	79.0	0.12222222222222222	10.0	0.1111111111111111	73.0	15
661	15531	Pauna	0.0	53.0	1147.0	0.0	0.0	245.0	3	1445	79.0	559.0	533.0	221.0	53.0		1.0	0.5183881197817884	0.9455240890318362	37.0	2.0	18.0	21.0	1.0	38.0	4.0	35.0	7.0	32	2.0	37.0	38.0	1.0	1.0	38.0	39	2.0	37.0	0.05128205128205128			36.0	3
662	15533	Paya	0.0	28.0	235.0	0.0	0.0	231.0	3	494	37.0	213.0	169.0	47.0	28.0		1.0	0.2715935433825342	0.5996621621621622	11.0	4.0	2.0	13.0	0.0	15.0	1.0	14.0	2.0	13	2.0	13.0	9.0	6.0	1.0	14.0	15	1.0	14.0	0.06666666666666667			13.0	2
663	85250	Paz de Ariporo	0.0	508.0	7183.0	82.0	316.0	961.0	5	9050	798.0	4105.0	2710.0	847.0	590.0		1.0	0.5219788605177771	0.15423212908715161	49.0	26.0	28.0	47.0	8.0	67.0	24.0	51.0	4.0	71	16.0	59.0	60.0	15.0	5.0	70.0	75	15.0	60.0	0.2	8.0	0.10666666666666667	62.0	10
664	15537	Paz de Río	114.0	0.0	16.0	0.0	0.0	640.0	3	770	63.0	312.0	284.0	111.0	0.0		1.0	0.63308082952306	0.6289935158985218	14.0	0.0	3.0	11.0	3.0	11.0	3.0	11.0	0.0	14	6.0	8.0	12.0	2.0	2.0	12.0	14	3.0	11.0	0.21428571428571427			11.0	1
665	47541	Pedraza	0.0	0.0	1968.0	126.0	219.0	52.0	4	2365	226.0	1077.0	703.0	233.0	126.0		1.0	0.03877898381574852	0.23292735200324124	13.0	0.0	4.0	9.0	0.0	13.0	0.0	13.0	0.0	13	4.0	9.0	6.0	7.0	2.0	11.0	13	4.0	9.0	0.3076923076923077			5.0	8
666	20550	Pelaya	0.0	107.0	4269.0	215.0	496.0	0.0	4	5087	381.0	2389.0	1568.0	395.0	354.0		1.0	0.35734710703636013	0.1437455033782973	21.0	5.0	2.0	24.0	7.0	19.0	1.0	25.0	4.0	22	7.0	19.0	24.0	2.0	5.0	21.0	26	7.0	19.0	0.2692307692307692			17.0	6
667	17541	Pensilvania	0.0	90.0	1533.0	123.0	21.0	1797.0	5	3564	215.0	1396.0	1223.0	496.0	234.0		1.0	0.2919317871377377	0.2144151771222926	86.0	2.0	10.0	78.0	3.0	85.0	0.0	88.0	0.0	88	19.0	69.0	74.0	14.0	22.0	66.0	88	7.0	81.0	0.07954545454545454			78.0	10
668	5543	Peque	0.0	143.0	995.0	52.0	0.0	530.0	4	1720	135.0	835.0	448.0	107.0	195.0		1.0	0.5236457883118981	0.05364420062695925	28.0	12.0	1.0	39.0	1.0	39.0	1.0	39.0	0.0	40	1.0	39.0	39.0	1.0	20.0	20.0	40	1.0	39.0	0.025			38.0	2
